epsilon,method,metric,median_mixing_time,q10_mixing_time,q90_mixing_time,n_points,n_censored,censoring_fraction,maximum_censoring_time,threshold,bias_floor,N_particles
0.07,Langevin,bin_chi2_M120,97.38863699777056,94.7565116735065,100.02076232203463,8,0,0.0,526.4250648528139,0.14,0.02542639999999999,6000
0.07,Langevin,bin_chi2_M40,133.5803602064015,130.02699101864502,135.55445419959958,8,0,0.0,526.4250648528139,0.06,0.01081677777777777,6000
0.07,Langevin,bin_chi2_M80,111.86532628122293,107.91713829482684,112.26014507986254,8,0,0.0,526.4250648528139,0.1,0.01861711111111111,6000
0.07,Langevin,well_TV,175.0363340635606,166.3503204934892,179.24773458238312,8,0,0.0,526.4250648528139,0.075,0.014055000000000043,6000
0.08,LSC-CP,CDF_sup,2.16,2.04,2.212,8,0,0.0,16.0,0.06,0.01680208333333334,6000
0.08,LSC-CP,KDE_chi2,1.18,1.16,1.2,8,0,0.0,16.0,0.1357554272254869,0.0452518090751623,6000
0.08,LSC-CP,W1,2.32,2.2800000000000002,2.464,8,0,0.0,16.0,0.08,0.026571630699444935,6000
0.08,LSC-CP,bin_chi2_M120,1.12,1.108,1.16,8,0,0.0,16.0,0.14,0.02481773333333333,6000
0.08,LSC-CP,bin_chi2_M40,1.52,1.468,1.532,8,0,0.0,16.0,0.06,0.008680155555555555,6000
0.08,LSC-CP,bin_chi2_M80,1.26,1.2,1.32,8,0,0.0,16.0,0.1,0.018986177777777773,6000
0.08,LSC-CP,well_TV,1.86,1.828,2.024,8,0,0.0,16.0,0.075,0.013061666666666671,6000
0.08,Langevin,CDF_sup,125.25934167206933,121.04185542048451,128.127232323147,8,0,0.0,337.3989001267861,0.06,0.01680208333333334,6000
0.08,Langevin,KDE_chi2,66.63628277504026,65.5397363496282,68.32327727567419,8,0,0.0,337.3989001267861,0.1357554272254869,0.0452518090751623,6000
0.08,Langevin,W1,145.92502430483498,140.4422921777747,148.87726468094436,8,0,0.0,337.3989001267861,0.08,0.026571630699444935,6000
