epsilon,method,metric,estimator,seed,observed_mixing_time,censored,accepted,acceptance_reason,n_fit,window_start,window_end,window_initial_value,window_final_value,slope_log_chi2,slope_standard_error,lambda_eff,log_R2,residual_RMSE_log,predicted_threshold_time,noise_cutoff,upper_window_cutoff,predicted_to_observed_ratio
0.04,Langevin,bin_chi2_M40,seed,6,2640.0,False,True,accepted,150,210.0,2445.0,0.7827666666666666,0.06421777777777778,-0.0011117687114367125,6.775343426498966e-06,0.0005558843557183562,0.9945334310055404,0.05353581457426903,2520.2737680846944,0.01899128888888888,0.8,
0.04,Langevin,bin_chi2_M40,seed,7,2595.0,False,True,accepted,152,210.0,2475.0,0.7969244444444444,0.06641333333333332,-0.00110915297600974,7.228968236957795e-06,0.00055457648800487,0.9936685593095413,0.05827157694710394,2541.8833092211507,0.01899128888888888,0.8,
0.04,Langevin,bin_chi2_M80,seed,0,2130.0,False,True,accepted,128,210.0,2115.0,0.7989244444444443,0.10657777777777777,-0.0010785253799735653,7.577079386438845e-06,0.0005392626899867826,0.9938195369938442,0.047139444637030146,2136.7939644684434,0.03789644444444444,0.8,
0.04,Langevin,bin_chi2_M80,seed,1,2175.0,False,True,accepted,118,210.0,1965.0,0.7866355555555555,0.12102222222222221,-0.0010971178118449154,8.00265732290612e-06,0.0005485589059224577,0.9938659444023645,0.04403827132158306,2090.012203147398,0.03789644444444444,0.8,
0.04,Langevin,bin_chi2_M80,seed,2,2190.0,False,True,accepted,125,225.0,2085.0,0.7970311111111111,0.10280444444444445,-0.001098966492474297,8.789433563397701e-06,0.0005494832462371485,0.99219353569421,0.05276065696833631,2113.7960110940057,0.03789644444444444,0.8,
0.04,Langevin,bin_chi2_M80,seed,3,2205.0,False,True,accepted,123,210.0,2040.0,0.79904,0.1027511111111111,-0.001094287831287493,8.70445067369373e-06,0.0005471439156437465,0.992402116160776,0.050994747730010954,2109.172010949026,0.03789644444444444,0.8,
0.04,Langevin,bin_chi2_M80,seed,4,2160.0,False,True,accepted,126,210.0,2085.0,0.7946533333333332,0.11576444444444445,-0.0010858245805485589,7.335020222622014e-06,0.0005429122902742794,0.9943732913343822,0.04456251169005321,2118.904819430079,0.03789644444444444,0.8,
0.04,Langevin,bin_chi2_M80,seed,5,2190.0,False,True,accepted,126,210.0,2085.0,0.7767777777777777,0.10569333333333333,-0.0010940717932873567,7.748001301822388e-06,0.0005470358966436783,0.9938195945403075,0.04707149920625378,2083.7199293184303,0.03789644444444444,0.8,
0.04,Langevin,bin_chi2_M80,seed,6,2175.0,False,True,accepted,121,225.0,2025.0,0.7893866666666666,0.11561777777777778,-0.0010924754532821042,7.638146022776397e-06,0.0005462377266410521,0.9942166360239405,0.04365486121359091,2116.1968048577864,0.03789644444444444,0.8,
0.04,Langevin,bin_chi2_M80,seed,7,2175.0,False,True,accepted,122,210.0,2025.0,0.7921244444444444,0.11889777777777777,-0.001090396776622464,7.092604520023916e-06,0.000545198388311232,0.9949484553136494,0.04104329738982855,2107.9772910898437,0.03789644444444444,0.8,
0.045,LSC-CP,KDE_chi2,seed,0,0.48,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.045,LSC-CP,KDE_chi2,seed,1,0.52,False,False,fewer than eight eligible contiguous points,1,,,,,,,,,,,,,
0.045,LSC-CP,KDE_chi2,seed,2,0.52,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.045,LSC-CP,KDE_chi2,seed,3,0.48,False,False,fewer than eight eligible contiguous points,1,,,,,,,,,,,,,
0.045,LSC-CP,KDE_chi2,seed,4,0.48,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.045,LSC-CP,KDE_chi2,seed,5,0.52,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.045,LSC-CP,KDE_chi2,seed,6,0.48,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.045,LSC-CP,KDE_chi2,seed,7,0.48,False,False,fewer than eight eligible contiguous points,1,,,,,,,,,,,,,
0.045,LSC-CP,bin_chi2_M120,seed,0,1.04,False,True,accepted,20,0.24,1.0,0.7001333333333334,0.16612000000000002,-1.9891073602019487,0.03328759151798806,0.9945536801009743,0.9949842370425352,0.032574251274709747,1.0492214642063709,0.054968266666666654,0.8,
0.045,LSC-CP,bin_chi2_M120,seed,1,1.12,False,True,accepted,20,0.24,1.0,0.7571866666666667,0.1724733333333333,-1.9516737982020325,0.04677444215437228,0.9758368991010162,0.9897668770752887,0.04577208390542606,1.1048819230918228,0.054968266666666654,0.8,
0.045,LSC-CP,bin_chi2_M120,seed,2,1.12,False,True,accepted,22,0.24,1.08,0.7305600000000001,0.15611999999999998,-1.9508365975571669,0.042770954097349996,0.9754182987785834,0.9904779404972917,0.04854079330361356,1.086902781504596,0.054968266666666654,0.8,
0.045,LSC-CP,bin_chi2_M120,seed,3,1.12,False,True,accepted,22,0.24,1.08,0.7404066666666667,0.14678000000000002,-1.9647855455010643,0.0401884999981352,0.9823927727505322,0.9917017908275532,0.045609963882302575,1.0877043034061267,0.054968266666666654,0.8,
0.045,LSC-CP,bin_chi2_M120,seed,4,1.08,False,True,accepted,19,0.24,0.96,0.7453400000000001,0.17663333333333334,-2.0469577781037662,0.045196975458056364,1.0234788890518831,0.9917801233864666,0.04082765653198598,1.056918690453142,0.054968266666666654,0.8,
0.045,LSC-CP,bin_chi2_M120,seed,5,1.04,False,True,accepted,20,0.24,1.0,0.7722266666666667,0.17171333333333333,-1.965611137157072,0.049090421880771576,0.982805568578536,0.9888974665616779,0.048038433079835303,1.1087556056800967,0.054968266666666654,0.8,
0.045,LSC-CP,bin_chi2_M120,seed,6,1.04,False,True,accepted,20,0.24,1.0,0.7360466666666667,0.18090666666666666,-1.996630211828522,0.04850189028041334,0.998315105914261,0.9894899221372307,0.04746251348460665,1.0712260778557967,0.054968266666666654,0.8,
0.045,LSC-CP,bin_chi2_M120,seed,7,1.12,False,True,accepted,22,0.24,1.08,0.7574266666666668,0.14512,-2.0007741291654906,0.03734944814353749,1.0003870645827453,0.9930787278378304,0.04238792144344085,1.0838155390938926,0.054968266666666654,0.8,
