method,quantity,metric,estimator,epsilon_subset,preferred_AIC,preferred_BIC,preferred_LOO,selected_family,arrhenius_votes,polynomial_votes,delta_AIC_poly_minus_arr,delta_BIC_poly_minus_arr,delta_LOO_poly_minus_arr
Langevin,mixing_time,bin_chi2_M120,particle_threshold,lowest_12,arrhenius,arrhenius,polynomial,arrhenius,2,1,275.68159244729713,275.68159244729713,-0.5218318184128239
Langevin,mixing_time,bin_chi2_M120,particle_threshold,lowest_10,arrhenius,arrhenius,polynomial,arrhenius,2,1,192.64995815442003,192.64995815442006,-0.5343923374031412
Langevin,mixing_time,bin_chi2_M120,particle_threshold,lowest_8,arrhenius,arrhenius,polynomial,arrhenius,2,1,129.1832868474137,129.18328684741368,-0.309377891998057
Langevin,mixing_time,bin_chi2_M120,particle_threshold,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,562.7645952489394,562.7645952489394,1.891356248626804
Langevin,mixing_time,bin_chi2_M120,particle_threshold,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,562.7645952489394,562.7645952489394,1.891356248626804
LSC-CP,chi2_effective_rate,KDE_chi2,seed_mean_window,all,polynomial,polynomial,polynomial,polynomial,0,3,-39.24050962329616,-39.240509623296155,-0.0034556156838568357
LSC-CP,chi2_effective_rate,KDE_chi2,seed_mean_window,exclude_largest_2,polynomial,polynomial,polynomial,polynomial,0,3,-32.80038965672624,-32.80038965672624,-0.002406325019614828
LSC-CP,chi2_effective_rate,KDE_chi2,seed_mean_window,lowest_12,polynomial,polynomial,polynomial,polynomial,0,3,-18.615617651041795,-18.615617651041788,-0.0012534601380048119
LSC-CP,chi2_effective_rate,KDE_chi2,seed_mean_window,lowest_10,polynomial,polynomial,polynomial,polynomial,0,3,-8.601167260119787,-8.601167260119787,-0.0005088949920137626
LSC-CP,chi2_effective_rate,KDE_chi2,seed_mean_window,lowest_8,polynomial,polynomial,polynomial,polynomial,0,3,-8.036121455080817,-8.03612145508082,-0.0006563902678643771
LSC-CP,chi2_effective_rate,KDE_chi2,seed_mean_window,uncensored_only,polynomial,polynomial,polynomial,polynomial,0,3,-39.24050962329616,-39.240509623296155,-0.0034556156838568357
LSC-CP,chi2_effective_rate,KDE_chi2,seed_mean_window,reliable_rate_window_only,polynomial,polynomial,polynomial,polynomial,0,3,-39.24050962329616,-39.240509623296155,-0.0034556156838568357
LSC-CP,mixing_time,KDE_chi2,particle_threshold,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,115.67319853866478,115.67319853866476,0.37493764222334425
LSC-CP,mixing_time,KDE_chi2,particle_threshold,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,116.06937302426047,116.06937302426047,0.4010964182636884
LSC-CP,mixing_time,KDE_chi2,particle_threshold,lowest_12,arrhenius,arrhenius,arrhenius,arrhenius,3,0,94.76002293039878,94.76002293039878,0.2457231660655403
