epsilon,replicate,metric,bias_floor_value,N_particles,KDE_bandwidth
0.22,5,truncated_KDE_chi2,0.0042448492158567545,2400,0.05753211211048985
0.22,5,well_TV,0.009583333333333444,2400,0.05753211211048985
0.22,5,W1,0.016312238624383454,2400,0.05753211211048985
0.22,5,CDF_sup,0.012707236675138511,2400,0.05753211211048985
0.22,6,truncated_KDE_chi2,0.004067821720022633,2400,0.05753211211048985
0.22,6,well_TV,0.011249999999999871,2400,0.05753211211048985
0.22,6,W1,0.026903571168966633,2400,0.05753211211048985
0.22,6,CDF_sup,0.02337519782349562,2400,0.05753211211048985
0.22,7,truncated_KDE_chi2,0.0040288396463271925,2400,0.05753211211048985
0.22,7,well_TV,0.008333333333333193,2400,0.05753211211048985
0.22,7,W1,0.02171374190168708,2400,0.05753211211048985
0.22,7,CDF_sup,0.018497417423426032,2400,0.05753211211048985
0.22,8,truncated_KDE_chi2,0.004759181663522245,2400,0.05753211211048985
0.22,8,well_TV,0.006250000000000089,2400,0.05753211211048985
0.22,8,W1,0.01755933605620543,2400,0.05753211211048985
0.22,8,CDF_sup,0.018656498283728506,2400,0.05753211211048985
0.22,9,truncated_KDE_chi2,0.00313097074755638,2400,0.05753211211048985
0.22,9,well_TV,0.005833333333333246,2400,0.05753211211048985
0.22,9,W1,0.010771740862101593,2400,0.05753211211048985
0.22,9,CDF_sup,0.010043858370718695,2400,0.05753211211048985
0.22,10,truncated_KDE_chi2,0.006951314824366204,2400,0.05753211211048985
0.22,10,well_TV,0.007083333333333219,2400,0.05753211211048985
0.22,10,W1,0.023947636118065413,2400,0.05753211211048985
0.22,10,CDF_sup,0.02005028896075145,2400,0.05753211211048985
0.22,11,truncated_KDE_chi2,0.009547046121851678,2400,0.05753211211048985
0.22,11,well_TV,0.009166666666666767,2400,0.05753211211048985
0.22,11,W1,0.023667933037366966,2400,0.05753211211048985
0.22,11,CDF_sup,0.020112398019863975,2400,0.05753211211048985
0.22,12,truncated_KDE_chi2,0.005996330562504594,2400,0.05753211211048985
0.22,12,well_TV,0.0024999999999998357,2400,0.05753211211048985
0.22,12,W1,0.00872966755321685,2400,0.05753211211048985
0.22,12,CDF_sup,0.010938278889807251,2400,0.05753211211048985
0.22,13,truncated_KDE_chi2,0.006000167723656429,2400,0.05753211211048985
0.22,13,well_TV,0.015416666666666523,2400,0.05753211211048985
0.22,13,W1,0.02409180306421517,2400,0.05753211211048985
0.22,13,CDF_sup,0.02160843518753669,2400,0.05753211211048985
0.22,14,truncated_KDE_chi2,0.003962981937562959,2400,0.05753211211048985
0.22,14,well_TV,0.0016666666666665941,2400,0.05753211211048985
0.22,14,W1,0.01219972758697117,2400,0.05753211211048985
0.22,14,CDF_sup,0.015599603085353131,2400,0.05753211211048985
0.22,15,truncated_KDE_chi2,0.006754913981958925,2400,0.05753211211048985
0.22,15,well_TV,0.00041666666666650976,2400,0.05753211211048985
0.22,15,W1,0.011970165491675174,2400,0.05753211211048985
0.22,15,CDF_sup,0.01646745050326537,2400,0.05753211211048985
0.22,16,truncated_KDE_chi2,0.005906591759204455,2400,0.05753211211048985
0.22,16,well_TV,0.016666666666666607,2400,0.05753211211048985
0.22,16,W1,0.029290040012177505,2400,0.05753211211048985
0.22,16,CDF_sup,0.021562496973080103,2400,0.05753211211048985
0.22,17,truncated_KDE_chi2,0.004053049970894096,2400,0.05753211211048985
0.22,17,well_TV,0.010416666666666519,2400,0.05753211211048985
0.22,17,W1,0.019913478514874704,2400,0.05753211211048985
0.22,17,CDF_sup,0.017594747164884877,2400,0.05753211211048985
0.22,18,truncated_KDE_chi2,0.003351131635178961,2400,0.05753211211048985
0.22,18,well_TV,0.0004166666666667873,2400,0.05753211211048985
0.22,18,W1,0.008558555399317389,2400,0.05753211211048985
0.22,18,CDF_sup,0.008531626245492974,2400,0.05753211211048985
0.22,19,truncated_KDE_chi2,0.008485189910704622,2400,0.05753211211048985
0.22,19,well_TV,0.0012499999999998623,2400,0.05753211211048985
0.22,19,W1,0.020494597488131455,2400,0.05753211211048985
0.22,19,CDF_sup,0.01623571502956389,2400,0.05753211211048985
0.22,20,truncated_KDE_chi2,0.005986685179202405,2400,0.05753211211048985
0.22,20,well_TV,0.0016666666666667607,2400,0.05753211211048985
0.22,20,W1,0.01358294249424084,2400,0.05753211211048985
0.22,20,CDF_sup,0.012431471853177806,2400,0.05753211211048985
0.22,21,truncated_KDE_chi2,0.005601472939089644,2400,0.05753211211048985
0.22,21,well_TV,0.01083333333333325,2400,0.05753211211048985
0.22,21,W1,0.01856304840963555,2400,0.05753211211048985
0.22,21,CDF_sup,0.015455264458607343,2400,0.05753211211048985
