epsilon,replicate,metric,bias_floor_value,N_particles
0.4,37,bin_chi2_M40,0.0064177777777777775,6000
0.4,37,bin_chi2_M80,0.015986666666666663,6000
0.4,37,bin_chi2_M120,0.02715333333333333,6000
0.4,38,KDE_chi2,0.002482618167860774,6000
0.4,38,well_TV,0.005166666666666653,6000
0.4,38,CDF_sup,0.0120416666666667,6000
0.4,38,W1,0.0152942754239315,6000
0.4,38,bin_chi2_M40,0.008251111111111112,6000
0.4,38,bin_chi2_M80,0.008577777777777778,6000
0.4,38,bin_chi2_M120,0.022766666666666668,6000
0.4,39,KDE_chi2,0.0036892413238110923,6000
0.4,39,well_TV,0.0008333333333332416,6000
0.4,39,CDF_sup,0.009750000000000038,6000
0.4,39,W1,0.013472080012620824,6000
0.4,39,bin_chi2_M40,0.007011111111111112,6000
0.4,39,bin_chi2_M80,0.010311111111111111,6000
0.4,39,bin_chi2_M120,0.020646666666666667,6000
0.4,40,KDE_chi2,0.003288196782662597,6000
0.4,40,well_TV,0.0038333333333332997,6000
0.4,40,CDF_sup,0.014625000000000037,6000
0.4,40,W1,0.019230049234028157,6000
0.4,40,bin_chi2_M40,0.007093333333333335,6000
0.4,40,bin_chi2_M80,0.013608888888888889,6000
0.4,40,bin_chi2_M120,0.016499999999999997,6000
0.4,41,KDE_chi2,0.003908082020363635,6000
0.4,41,well_TV,0.0003333333333332966,6000
0.4,41,CDF_sup,0.011916666666666683,6000
0.4,41,W1,0.011769686682180902,6000
0.4,41,bin_chi2_M40,0.005626666666666667,6000
0.4,41,bin_chi2_M80,0.014035555555555555,6000
0.4,41,bin_chi2_M120,0.020626666666666665,6000
0.4,42,KDE_chi2,0.0026589337076081574,6000
0.4,42,well_TV,0.004166666666666707,6000
0.4,42,CDF_sup,0.008791666666666632,6000
0.4,42,W1,0.00878473395197087,6000
0.4,42,bin_chi2_M40,0.0025977777777777783,6000
0.4,42,bin_chi2_M80,0.013986666666666665,6000
0.4,42,bin_chi2_M120,0.01961333333333333,6000
0.4,43,KDE_chi2,0.0018290779156402044,6000
0.4,43,well_TV,0.0010000000000000009,6000
0.4,43,CDF_sup,0.01041666666666663,6000
0.4,43,W1,0.009549573669415147,6000
0.4,43,bin_chi2_M40,0.007584444444444442,6000
0.4,43,bin_chi2_M80,0.01129333333333333,6000
0.4,43,bin_chi2_M120,0.014773333333333333,6000
0.4,44,KDE_chi2,0.0016484587662695068,6000
0.4,44,well_TV,0.0024999999999999467,6000
0.4,44,CDF_sup,0.011083333333333322,6000
0.4,44,W1,0.01259112837819697,6000
0.4,44,bin_chi2_M40,0.006504444444444446,6000
0.4,44,bin_chi2_M80,0.016257777777777774,6000
0.4,44,bin_chi2_M120,0.021233333333333337,6000
0.4,45,KDE_chi2,0.0024532759376552585,6000
0.4,45,well_TV,0.0015000000000000013,6000
0.4,45,CDF_sup,0.010708333333333342,6000
0.4,45,W1,0.011652237779679955,6000
0.4,45,bin_chi2_M40,0.00516,6000
0.4,45,bin_chi2_M80,0.009146666666666668,6000
0.4,45,bin_chi2_M120,0.02112666666666666,6000
0.4,46,KDE_chi2,0.005604231362428366,6000
0.4,46,well_TV,0.012666666666666604,6000
0.4,46,CDF_sup,0.015374999999999967,6000
0.4,46,W1,0.01829049140302521,6000
0.4,46,bin_chi2_M40,0.00519111111111111,6000
0.4,46,bin_chi2_M80,0.01799111111111111,6000
0.4,46,bin_chi2_M120,0.017273333333333335,6000
0.4,47,KDE_chi2,0.005116228390882463,6000
0.4,47,well_TV,0.0043333333333333,6000
0.4,47,CDF_sup,0.014708333333333294,6000
0.4,47,W1,0.017075294394958834,6000
0.4,47,bin_chi2_M40,0.005471111111111111,6000
0.4,47,bin_chi2_M80,0.0073911111111111105,6000
0.4,47,bin_chi2_M120,0.024773333333333335,6000
0.4,48,KDE_chi2,0.0033525845719896753,6000
0.4,48,well_TV,0.006666666666666654,6000
0.4,48,CDF_sup,0.013875000000000016,6000
0.4,48,W1,0.018714652123734125,6000
0.4,48,bin_chi2_M40,0.012724444444444443,6000
0.4,48,bin_chi2_M80,0.010484444444444446,6000
0.4,48,bin_chi2_M120,0.0177,6000
0.4,49,KDE_chi2,0.004490137830483197,6000
0.4,49,well_TV,0.0038333333333333552,6000
0.4,49,CDF_sup,0.013749999999999969,6000
0.4,49,W1,0.016144792523707596,6000
0.4,49,bin_chi2_M40,0.006866666666666665,6000
