epsilon,method,selected_chi2_metric,lambda_form,lambda_abs,lambda_eff,lambda_mix,T_mix,chi2_window_start_time,chi2_window_end_time,chi2_window_initial_value,chi2_window_final_value,threshold,bias_floor,noise_cutoff,lambda_eff_over_lambda_abs,lambda_mix_over_lambda_abs,lambda_form_over_lambda_abs,lambda_mix_over_lambda_eff,log_factor,predicted_threshold_time_from_lambda_eff,observed_mixing_time,predicted_to_observed_ratio,rate_window_accepted,rate_window_R2,rate_window_n_points,plateau_excluded,floor_region_excluded,initial_transient_excluded,consistency_pass,failure_reason,n_censored,N_particles,slope_log_chi2,slope_standard_error,residual_RMSE_log,upper_window_cutoff
0.07,LSC-CP,bin_chi2_M80,0.9929813235303119,1.0474867735134217,1.008817875731301,0.7694835000858182,1.28,0.28,1.24,0.71698,0.10129833333333332,0.1,0.01861711111111111,0.03723422222222222,0.9630841183298005,0.7345997291258004,0.9479655005090989,0.7627575983702833,1.9698777602196946,1.2563297259139627,1.28,0.9815075983702833,True,0.9972291866452674,25,True,True,True,True,none,0,6000,-2.017635751462602,0.022176090865289915,0.03067683663624922,0.8
0.07,Langevin,bin_chi2_M80,0.011397633588511924,0.01139763358661042,0.010860388237769957,0.009163231168840144,111.86532628122293,13.160626621320347,107.91713829482684,0.7768644444444444,0.10070222222222222,0.1,0.01861711111111111,0.03723422222222222,0.952863430399131,0.8039590937196663,1.0000000001668332,0.8437296133643283,2.050095688985149,107.544715113451,111.86532628122293,0.9613766721878577,True,0.9994284418582792,73,True,True,True,True,none,0,6000,-0.021720776475539914,6.164537907901076e-05,0.014404485639461447,0.8
0.08,LSC-CP,bin_chi2_M80,1.003397403352975,1.0681700575504964,1.0308044505289558,0.7937504036077079,1.26,0.28,1.2,0.7390911111111111,0.10368444444444444,0.1,0.018986177777777773,0.037972355555555545,0.9650190465858717,0.7430936656546229,0.9393611029071001,0.7700300509959925,2.000251017091424,1.2502378642549505,1.26,0.9922522732182147,True,0.9977204485022906,24,True,True,True,True,none,0,6000,-2.0616089010579115,0.02100947535970465,0.027285369448012405,0.8
0.08,Langevin,bin_chi2_M80,0.017783104799798652,0.01778310479893488,0.016883912844468902,0.014460935374908293,71.69726627694205,8.434972503169652,70.85376902662507,0.7953555555555555,0.10043499999999998,0.1,0.018986177777777773,0.037972355555555545,0.9494356039267206,0.8131839483830985,1.0000000000485725,0.856491946394146,2.0736190683769014,69.84310364784712,71.69726627694205,0.9741390052176755,True,0.9990570518534739,75,True,True,True,True,none,0,6000,-0.033767825688937804,0.00012142005577360183,0.01894382016427627,0.8
0.09,LSC-CP,bin_chi2_M80,1.0161653082738267,1.0898624788243776,1.041777307213576,0.794651974626835,1.28,0.28,1.24,0.7646966666666667,0.10185388888888887,0.1,0.017775199999999998,0.035550399999999996,0.9558795971555325,0.729130500468295,0.9323793854890323,0.7627848765032875,2.0343090550446976,1.256364641924208,1.28,0.9815348765032875,True,0.9976879485071467,25,True,True,True,True,none,0,6000,-2.083554614427152,0.02091425306509472,0.02893129941360824,0.8
0.09,Langevin,bin_chi2_M80,0.025244418751358945,0.02524441875360932,0.023933214370579825,0.020341777870483434,50.803308748432215,6.536098201552682,49.91202263003866,0.7899972222222222,0.10201111111111111,0.1,0.017775199999999998,0.035550399999999996,0.9480596326725873,0.8057930772351442,0.9999999999108566,0.8499392332142729,2.0668592432923916,49.71582348394312,50.803308748432215,0.9785942039745068,True,0.9989071460721402,74,True,True,True,True,none,0,6000,-0.04786642874115965,0.00018658781414055252,0.020094483484852516,0.8
0.1,LSC-CP,bin_chi2_M80,1.030574906705564,1.111849666163812,1.0557886383023776,0.7888161437585174,1.28,0.28,1.24,0.7533572222222222,0.1025511111111111,0.1,0.01928159999999999,0.03856319999999998,0.9495785900131082,0.7094629496810937,0.9269013051569568,0.7471345259282859,2.0193693280218046,1.2363321931882059,1.28,0.9658845259282858,True,0.9980033807559258,25,True,True,True,True,none,0,6000,-2.111577276604755,0.019693580465345938,0.027242707219595808,0.8
0.1,Langevin,bin_chi2_M80,0.033549874569062346,0.03354987456854729,0.031747452486384144,0.026793735964917277,38.00312270601754,5.365146734967182,37.10893158352301,0.7663672222222222,0.10100055555555555,0.1,0.01928159999999999,0.03856319999999998,0.9462763391713869,0.7986240279430482,1.000000000015352,0.8439649126621602,2.036491271254773,37.43844887044064,38.00312270601754,0.9851413832503956,True,0.9992468430431005,72,True,True,True,True,none,0,6000,-0.06349490497276829,0.00020835129835504823,0.01619740982374864,0.8
0.11,LSC-CP,bin_chi2_M80,1.0461016823454694,1.1336158998015764,1.0863873296910047,0.7944160732440864,1.28,0.28,1.16,0.764235,0.10922055555555554,0.1,0.017683199999999996,0.03536639999999999,0.9583381195351632,0.7007806377655234,0.9228008203912585,0.7312457090879713,2.033705147504861,1.2159945076326033,1.28,0.9499957090879713,True,0.9976536980700139,23,True,True,True,True,none,0,6000,-2.1727746593820094,0.022993605754940683,0.027957804113685456,0.8
0.11,Langevin,bin_chi2_M80,0.04250482676780858,0.042504826768678255,0.04029963090996821,0.033998411546404504,30.349494353826966,4.234813165650275,29.64369215955192,0.7874811111111111,0.10484611111111111,0.1,0.017683199999999996,0.03536639999999999,0.948118930804935,0.7998717823609126,0.9999999999795395,0.8436407673896318,2.063669198533378,29.838883872200157,30.349494353826966,0.9831756511105622,True,0.9992973084735587,73,True,True,True,True,none,0,6000,-0.08059926181993642,0.00025365118135664143,0.015893171042708615,0.8
