method,matrix_kind,from_state,to_state,count,probability,seed
LSC-complete-shell,jump_step_phase,++,+-,351.0,0.21234119782214156,20260191
LSC-complete-shell,jump_step_phase,++,++,686.0,0.4150030248033878,20260191
LSC-complete-shell,jump_step_phase,--,--,500.0,0.4340277777777778,20261191
LSC-complete-shell,jump_step_phase,--,-+,261.0,0.2265625,20261191
LSC-complete-shell,jump_step_phase,--,+-,271.0,0.23524305555555555,20261191
LSC-complete-shell,jump_step_phase,--,++,120.0,0.10416666666666667,20261191
LSC-complete-shell,jump_step_phase,-+,--,61.0,0.21403508771929824,20261191
LSC-complete-shell,jump_step_phase,-+,-+,92.0,0.32280701754385965,20261191
LSC-complete-shell,jump_step_phase,-+,+-,27.0,0.09473684210526316,20261191
LSC-complete-shell,jump_step_phase,-+,++,105.0,0.3684210526315789,20261191
LSC-complete-shell,jump_step_phase,+-,--,161.0,0.2413793103448276,20261191
LSC-complete-shell,jump_step_phase,+-,-+,52.0,0.07796101949025487,20261191
LSC-complete-shell,jump_step_phase,+-,+-,270.0,0.4047976011994003,20261191
LSC-complete-shell,jump_step_phase,+-,++,184.0,0.27586206896551724,20261191
LSC-complete-shell,jump_step_phase,++,--,198.0,0.1209529627367135,20261191
LSC-complete-shell,jump_step_phase,++,-+,376.0,0.2296884544899206,20261191
LSC-complete-shell,jump_step_phase,++,+-,354.0,0.21624923640806354,20261191
LSC-complete-shell,jump_step_phase,++,++,709.0,0.4331093463653024,20261191
LSC-complete-shell,jump_step_phase,--,--,474.0,0.42021276595744683,20262191
LSC-complete-shell,jump_step_phase,--,-+,261.0,0.23138297872340424,20262191
LSC-complete-shell,jump_step_phase,--,+-,278.0,0.24645390070921985,20262191
LSC-complete-shell,jump_step_phase,--,++,115.0,0.10195035460992907,20262191
LSC-complete-shell,jump_step_phase,-+,--,85.0,0.28619528619528617,20262191
LSC-complete-shell,jump_step_phase,-+,-+,92.0,0.30976430976430974,20262191
LSC-complete-shell,jump_step_phase,-+,+-,36.0,0.12121212121212122,20262191
LSC-complete-shell,jump_step_phase,-+,++,84.0,0.2828282828282828,20262191
LSC-complete-shell,jump_step_phase,+-,--,141.0,0.2020057306590258,20262191
LSC-complete-shell,jump_step_phase,+-,-+,51.0,0.07306590257879657,20262191
LSC-complete-shell,jump_step_phase,+-,+-,318.0,0.45558739255014324,20262191
LSC-complete-shell,jump_step_phase,+-,++,188.0,0.2693409742120344,20262191
LSC-complete-shell,jump_step_phase,++,--,179.0,0.10995085995085994,20262191
LSC-complete-shell,jump_step_phase,++,-+,401.0,0.2463144963144963,20262191
LSC-complete-shell,jump_step_phase,++,+-,375.0,0.23034398034398035,20262191
LSC-complete-shell,jump_step_phase,++,++,673.0,0.4133906633906634,20262191
