experiment,method,seed,time,KDE_bandwidth,KDE_integral,KDE_integral_before_grid_renormalization,KDE_tail_mass_outside_plot,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,chi_interval_left,chi_interval_right,chi_omitted_target_mass,chi_target_density_min,quadrature
triple-well,LSC-overlong,2,3.4692,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.07361922953424632,0.000988273359343262,0.009990839348069151,0.014167186248839614,0.01424894669079485,0.006129476560866709,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.4838999999999998,0.09199214785700836,1.0,1.00000000000003,0.0,0.06845099868941217,0.0008124874094051226,0.008756256450394517,0.014697650359294323,0.01518978125539494,0.0056422445639464636,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.4986,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.06970702781833524,0.0009069503795922705,0.009079804355080354,0.01426638895860538,0.014620924517996237,0.0056065384934332885,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.5133,0.09199214785700836,1.0000000000000002,1.00000000000003,0.0,0.0762355069892566,0.001106067720094432,0.009820825800809865,0.01429564201970468,0.014660470182380148,0.006154997331144441,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.528,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.07343247725139684,0.0010097706772339851,0.00963312467906061,0.010724887228896307,0.011830156039342066,0.006322669357993416,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.5427,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.07105028125079535,0.0009291383851034855,0.008949642812979382,0.010160034069480794,0.010996822706008713,0.005155440210924733,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.5574,0.09199214785700836,1.0,1.0000000000000302,0.0,0.06782397143784256,0.0008194325193630193,0.008485973182686209,0.009829996353265702,0.009540199724173692,0.006115173294229281,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.5721,0.09199214785700836,1.0,1.0000000000000302,0.0,0.06843744098891678,0.0008547577642325623,0.008630851440405091,0.009477693838815526,0.009453528331662797,0.005912319905008845,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.5867999999999998,0.09199214785700836,1.0,1.00000000000003,0.0,0.06438183904553613,0.0007703815050719054,0.007134242789403389,0.009792571819237816,0.009241272322025706,0.0065760659081455786,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.6015,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.06893638339803847,0.0007920920527108627,0.007065240502444839,0.010576544356056428,0.01105151200093013,0.006653618903590064,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.6162,0.09199214785700836,1.0,1.0000000000000302,0.0,0.06551735676755721,0.0006548872442053196,0.00615720623292876,0.010055717453268831,0.009761921987155808,0.005527082073460671,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.6309,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.07466109086440859,0.000959683214222899,0.008396196021480343,0.015464867465881549,0.015683255350378678,0.005294573750997511,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.6456,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.07758185767019155,0.0010604213625441108,0.01013564199131959,0.015225375075012149,0.01643889745713789,0.004979566408230635,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.6603,0.09199214785700836,1.0,1.0000000000000302,0.0,0.08083049076506607,0.0012194915046879438,0.009908426671494431,0.014020448454276802,0.015605564123804538,0.005527122373710447,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.675,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.06634827001074908,0.0009206138286577176,0.006833670351436259,0.012791125357939914,0.015091791532757526,0.006911071016167947,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.6896999999999998,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.06882164830054825,0.000893567536704609,0.00683653938218082,0.01020010462160631,0.011758458199424227,0.006086440133747706,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.7044,0.09199214785700836,1.0,1.0000000000000302,0.0,0.06327567469165225,0.0007725357735376373,0.006460057976984357,0.010397783407048666,0.010932920651939515,0.005909308728450857,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.7191,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.06657203617738669,0.0008563359631703316,0.00767267382507206,0.012692977661227678,0.011968309283397427,0.005912295657126032,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.7338,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.06711491446642005,0.0008799176556372316,0.007614755221704081,0.012398846226153282,0.012384975950064159,0.00600466941706973,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.7485,0.09199214785700836,1.0000000000000002,1.00000000000003,0.0,0.06575634466887886,0.0008842065927056511,0.006982568566163716,0.008750227991611848,0.012475410855366631,0.007136487237561662,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.7632,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.06114741444757424,0.0007601793867638921,0.006154129432579172,0.007388699618707584,0.011642077522033278,0.00636114455120651,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.7779,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.06706122400914194,0.000924415926252721,0.00710096819876341,0.008792351305346835,0.016335231525567817,0.00810123069578994,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.7925999999999997,0.09199214785700836,1.0,1.00000000000003,0.0,0.06009142835795987,0.0007993810641320942,0.0068719844367886185,0.008062438680641715,0.011685916315669398,0.00644037976784706,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.8073,0.09199214785700836,1.0,1.0000000000000302,0.0,0.05990362428845905,0.0007919287485743653,0.006872763415900501,0.008107282761906975,0.01424199494540912,0.006226092133561623,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.822,0.09199214785700836,1.0,1.00000000000003,0.0,0.06011813451713309,0.00076212088754851,0.005570824174308391,0.007754833187943233,0.013352582982335992,0.006539055682191597,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.8367,0.09199214785700836,1.0000000000000002,1.00000000000003,0.0,0.06903930497611105,0.0009497753972442625,0.00659335502032491,0.008081866212881761,0.0138253282787425,0.005974556208591553,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.8514,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.06799035514348328,0.0010404971222773517,0.007077915985423233,0.008443126452947425,0.012780974368934439,0.0052273730429048815,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.8661,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.06792904903336365,0.0009215287339491948,0.006569064347406107,0.005928824230821417,0.011601255668190258,0.006398363720780953,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.8808,0.09199214785700836,1.0,1.0000000000000302,0.0,0.0662584517429387,0.0008121123685649301,0.0054239937531875195,0.00841008561704662,0.011947641035601198,0.00601859988639214,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.8954999999999997,0.09199214785700836,1.0,1.0000000000000302,0.0,0.06491170185528569,0.0008365049958442047,0.005936392066781969,0.009112790786793626,0.010772395922295841,0.007576520025208144,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.9102,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.0673907531193294,0.0008707422128742431,0.006525147622865144,0.00645198396972807,0.010596826547229599,0.006302318036434218,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.9249,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.0747818081489012,0.00099956086499899,0.007443920702964613,0.010117569776478187,0.012473405522799741,0.006724854493420418,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
