experiment,method,seed,time,KDE_bandwidth,histogram_integral,KDE_integral,KDE_tail_mass_outside_plot,KDE_vs_histogram_bin_mass_L1,sample_count
triple-well,LSC-overlong,1,2.058,0.09199214785700836,1.0,1.0,0.0,0.04671093775487665,2400
triple-well,LSC-overlong,1,2.0726999999999998,0.09199214785700836,1.0,1.0,0.0,0.037143766987076374,2400
triple-well,LSC-overlong,1,2.0874,0.09199214785700836,1.0,0.9999999999999999,0.0,0.04712099771034543,2400
triple-well,LSC-overlong,1,2.1021,0.09199214785700836,1.0,0.9999999999999999,0.0,0.0406164444960775,2400
triple-well,LSC-overlong,1,2.1168,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03329397140063879,2400
triple-well,LSC-overlong,1,2.1315,0.09199214785700836,1.0,1.0,0.0,0.042984788823078046,2400
triple-well,LSC-overlong,1,2.1462,0.09199214785700836,1.0,1.0000000000000002,0.0,0.0428625848769809,2400
triple-well,LSC-overlong,1,2.1609,0.09199214785700836,1.0,1.0,0.0,0.037102073419451806,2400
triple-well,LSC-overlong,1,2.1755999999999998,0.09199214785700836,1.0,1.0,0.0,0.04126852168367956,2400
triple-well,LSC-overlong,1,2.1903,0.09199214785700836,1.0,1.0,0.0,0.03613581047773909,2400
triple-well,LSC-overlong,1,2.205,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03877918683698593,2400
triple-well,LSC-overlong,1,2.2197,0.09199214785700836,1.0,0.9999999999999999,0.0,0.043697200501173636,2400
triple-well,LSC-overlong,1,2.2344,0.09199214785700836,1.0,1.0000000000000002,0.0,0.0301754688434522,2400
triple-well,LSC-overlong,1,2.2491,0.09199214785700836,1.0,1.0,0.0,0.0350513267407742,2400
triple-well,LSC-overlong,1,2.2638,0.09199214785700836,1.0,1.0,0.0,0.038966942239852004,2400
triple-well,LSC-overlong,1,2.2785,0.09199214785700836,1.0,0.9999999999999998,0.0,0.04324862202577748,2400
triple-well,LSC-overlong,1,2.2932,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03066791235382908,2400
triple-well,LSC-overlong,1,2.3079,0.09199214785700836,0.9999999999999999,0.9999999999999999,0.0,0.03768889458346469,2400
triple-well,LSC-overlong,1,2.3226,0.09199214785700836,1.0,1.0,0.0,0.04212863990872334,2400
triple-well,LSC-overlong,1,2.3373,0.09199214785700836,1.0,1.0,0.0,0.04649735604350801,2400
triple-well,LSC-overlong,1,2.352,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03745281740923098,2400
triple-well,LSC-overlong,1,2.3667,0.09199214785700836,1.0,1.0000000000000002,0.0,0.04571797518992586,2400
triple-well,LSC-overlong,1,2.3814,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03422873623027522,2400
triple-well,LSC-overlong,1,2.3961,0.09199214785700836,1.0,1.0,0.0,0.04070962681510232,2400
triple-well,LSC-overlong,1,2.4108,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03773316776208599,2400
triple-well,LSC-overlong,1,2.4255,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03970528883472842,2400
triple-well,LSC-overlong,1,2.4402,0.09199214785700836,1.0,1.0,0.0,0.042140229384688005,2400
triple-well,LSC-overlong,1,2.4549,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03204787989164552,2400
triple-well,LSC-overlong,1,2.4696,0.09199214785700836,1.0,0.9999999999999999,0.0,0.05251048420005787,2400
triple-well,LSC-overlong,1,2.4843,0.09199214785700836,1.0,0.9999999999999999,0.0,0.038677642707580215,2400
triple-well,LSC-overlong,1,2.499,0.09199214785700836,1.0,1.0,0.0,0.0332472251136866,2400
triple-well,LSC-overlong,1,2.5137,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03738589146908272,2400
triple-well,LSC-overlong,1,2.5284,0.09199214785700836,1.0,1.0,0.0,0.05606337616297307,2400
triple-well,LSC-overlong,1,2.5431,0.09199214785700836,1.0,0.9999999999999998,0.0,0.039040765931603286,2400
triple-well,LSC-overlong,1,2.5578,0.09199214785700836,1.0,1.0,0.0,0.04694488268504299,2400
triple-well,LSC-overlong,1,2.5725,0.09199214785700836,1.0,1.0,0.0,0.04105405265224421,2400
triple-well,LSC-overlong,1,2.5872,0.09199214785700836,1.0,1.0,0.0,0.03581844318276746,2400
triple-well,LSC-overlong,1,2.6019,0.09199214785700836,1.0,1.0000000000000002,0.0,0.03375066890845607,2400
triple-well,LSC-overlong,1,2.6166,0.09199214785700836,1.0,1.0,0.0,0.035608470786725674,2400
triple-well,LSC-overlong,1,2.6313,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03199302150266538,2400
triple-well,LSC-overlong,1,2.646,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03651143903904755,2400
triple-well,LSC-overlong,1,2.6607,0.09199214785700836,0.9999999999999999,0.9999999999999998,0.0,0.03269190006038458,2400
triple-well,LSC-overlong,1,2.6754,0.09199214785700836,0.9999999999999999,1.0,0.0,0.0322525638147554,2400
triple-well,LSC-overlong,1,2.6901,0.09199214785700836,1.0,1.0000000000000002,0.0,0.036614466943717214,2400
triple-well,LSC-overlong,1,2.7048,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03177217437921334,2400
triple-well,LSC-overlong,1,2.7195,0.09199214785700836,0.9999999999999999,1.0,0.0,0.032102402117051315,2400
triple-well,LSC-overlong,1,2.7342,0.09199214785700836,1.0,1.0000000000000002,0.0,0.040898458272822374,2400
triple-well,LSC-overlong,1,2.7489,0.09199214785700836,0.9999999999999999,1.0000000000000002,0.0,0.036015598036428315,2400
triple-well,LSC-overlong,1,2.7636,0.09199214785700836,1.0,1.0,0.0,0.03812979821061937,2400
triple-well,LSC-overlong,1,2.7782999999999998,0.09199214785700836,1.0,1.0,0.0,0.028070238948076143,2400
triple-well,LSC-overlong,1,2.793,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03367280005811106,2400
triple-well,LSC-overlong,1,2.8077,0.09199214785700836,1.0,0.9999999999999999,0.0,0.047394124348519154,2400
triple-well,LSC-overlong,1,2.8224,0.09199214785700836,1.0,1.0,0.0,0.03821094634837091,2400
